"","x"
"286","Ella"
"287","Elymospirifer"
"288","Elythyna"
"289","Emanuella"
"290","Enallosia"
"291","Enantiosphen"
"292","Enteletella"
"293","Enteletes"
"294","Enteletina"
"295","Eobrachythyris"
"296","Eochoristites"
"297","Eocoelia"
"298","Eodalmanella"
"299","Eoglossinotoechia"
"300","Eolaballa"
"301","Eomartiniopsis"
"302","Eoorthis"
"303","Eoparaphorhynchus"
"304","Eoreticularia"
"305","Eorhipidomella"
"306","Eosophragmophora"
"307","Eospinatrypa"
"308","Eospirifer"
"309","Eospiriferina"
"310","Eospirigerina"
"311","Eosyringothyris"
"312","Epitomyonia"
"313","Eridmatus"
"314","Eridorthis"
"315","Estonirhynchia"
"316","Etymothyris"
"317","Eucharitina"
"318","Eudoxina"
"319","Eumetabolotoechia"
"320","Eumetria"
"321","Euorthisina"
"322","Euryspirifer"
"323","Evanescirostrum"
"324","Evenkina"
"325","Exatrypa"
"326","Falsatrypa"
"327","Farmerella"
"328","Fascicosta"
"329","Fascicostella"
"330","Fascizetina"
"331","Felinotoechia"
"332","Ferganella"
"333","Fernglenia"
"334","Filigreenia"
"335","Filispirifer"
"336","Fimbrispirifer"
"337","Fitzroyella"
"338","Flabellitesia"
"339","Fletcherithyris"
"340","Fossatrypa"
"341","Frechella"
"342","Fredericksolasma"
"343","Fulcriphoria"
"344","Fusella"
"345","Fusispirifer"
"346","Gacina"
"347","Gastrodetoechia"
"348","Gefonia"
"349","Gelidorthina"
"350","Gelidorthis"
"351","Geothomasia"
"352","Gerassimovia"
"353","Gibberosatrypa"
"354","Gilledia"
"355","Giraldiella"
"356","Girtyella"
"357","Gjelispinifera"
"358","Glassia"
"359","Glassina"
"360","Glendonia"
"361","Globulirhynchia"
"362","Glossinotoechia"
"363","Glossinulina"
"364","Glossinulus"
"365","Glossorthis"
"366","Glossothyropsis"
"367","Glyptorthis"
"368","Goleomixa"
"369","Goniophoria"
"370","Gotatrypa"
"371","Gracianella"
"372","Gracilotoechia"
"373","Grayina"
"374","Grigorjevaelasma"
"375","Gruntallina"
"376","Gruntea"
"377","Gruntelasma"
"378","Gruntia"
"379","Gundarolasmina"
"380","Gypidula"
"381","Gypidulella"
"382","Gypidulina"
"383","Gypiduloides"
"384","Gypospirifer"
"385","Hadrorhynchia"
"386","Hadyrhyncha"
"387","Hamburgia"
"388","Harknessella"
"389","Harpidium"
"390","Havlicekia"
"391","Hebetoechia"
"392","Hedeina"
"393","Hemileurus"
"394","Hemiptychina"
"395","Hercotrema"
"396","Hesperorthis"
"397","Heteraria"
"398","Heterelasma"
"399","Heterelasmina"
"400","Heterorthella"
"401","Heterorthina"
"402","Heterorthis"
"403","Himathyris"
"404","Hindella"
"405","Hircinisca"
"406","Hirnantia"
"407","Holorhynchus"
"408","Holosia"
"409","Holynatrypa"
"410","Homoeospira"
"411","Homoeospirella"
"412","Horderleyella"
"413","Hoskingia"
"414","Hostimex"
"415","Howellella"
"416","Howellites"
"417","Howittia"
"418","Hunzina"
"419","Hustedia"
"420","Hyattidina"
"421","Hybostenoscisma"
"422","Hypothyridina"
"423","Hypsomyonia"
"424","Ibergirhynchia"
"425","Ikella"
"426","Ilmenia"
"427","Ilmenispina"
"428","Iloerhynchus"
"429","Imbrexia"
"430","Imperiospira"
"431","Independatrypa"
"432","Indospirifer"
"433","Ingelarella"
"434","Invertrypa"
"435","Iotina"
"436","Iowatrypa"
"437","Isopoma"
"438","Isorthis"
"439","Isospinatrypa"
"440","Isovella"
"441","Ivanothyris"
"442","Ivdelinia"
"443","Janiceps"
"444","Janius"
"445","Jarovathyris"
"446","Jezercia"
"447","Jilinmartinia"
"448","Johndearia"
"449","Johnsonathyris"
"450","Juxathyris"
"451","Kaninospirifer"
"452","Kaplex"
"453","Karbous"
"454","Karpinskia"
"455","Kasakhstania"
"456","Katuniella"
"457","Kayserella"
"458","Kayseria"
"459","Kelsovia"
"460","Kindleina"
"461","Kinnella"
"462","Kirkidium"
"463","Kitakamithyris"
"464","Kosirium"
"465","Kotlaia"
"466","Kotysex"
"467","Kozlenia"
"468","Kozlowskiellina"
"469","Kransia"
"470","Kulumbella"
"471","Kwangsirhynchus"
"472","Kyrtatrypa"
"473","Kyutepia"
"474","Labaia"
"475","Ladjia"
"476","Ladogia"
"477","Ladogilina"
"478","Laioporella"
"479","Lambdarina"
"480","Lamelliconchidium"
"481","Lamellosathyris"
"482","Lamnaespina"
"483","Lamniplica"
"484","Lanceomyonia"
"485","Larispirifer"
"486","Laticrura"
"487","Latiflexa"
"488","Latispirifer"
